overall_rank,family,plot_name,model_name,architecture,test_nav,test_sharpe,nav_rank,sharpe_rank,rank_score,test_total_return,test_annual_return,test_annual_vol,test_max_drawdown,test_calmar,test_total_turnover
1,RL,RL:lstm_autoencoder__q_learning,lstm_autoencoder__q_learning,lstm_autoencoder+q_learning,16048.5652780223,1.2067584616863851,1,1,1.0,0.6048565278022313,0.1624280142111807,0.0948946177166394,-0.0925836757549879,1.7543915046214815,7.200000000000001
2,RL,RL:kmeans_baseline__q_learning,kmeans_baseline__q_learning,kmeans_baseline+q_learning,15972.94526978766,1.1524098811776395,2,3,2.5,0.5972945269787637,0.1606824298298754,0.0978551992295536,-0.0925836757549882,1.7355373776161414,2.2
3,RL,RL:pca_kmeans_baseline__q_learning,pca_kmeans_baseline__q_learning,pca_kmeans_baseline+q_learning,15972.94526978766,1.1524098811776395,2,3,2.5,0.5972945269787637,0.1606824298298754,0.0978551992295536,-0.0925836757549882,1.7355373776161414,2.2
4,RL,RL:rnn_autoencoder__q_learning,rnn_autoencoder__q_learning,rnn_autoencoder+q_learning,15362.035137089728,1.1811042257927176,6,2,4.0,0.5362035137089738,0.1463694492259459,0.083359550971663,-0.0925067935442278,1.5822562172795034,22.4
5,RL,RL:hmm_baseline__q_learning,hmm_baseline__q_learning,hmm_baseline+q_learning,15719.956224487209,1.1068233712224025,4,5,4.5,0.5719956224487222,0.1548012414822126,0.0965719670800152,-0.0925836757549875,1.6720144260838927,10.6
6,RL,RL:conv_transformer__q_learning,conv_transformer__q_learning,conv_transformer+q_learning,15385.150003827164,1.0547062991641458,5,7,6.0,0.5385150003827104,0.1469180039491007,0.093869613478587,-0.0952492061339533,1.5424590913910936,29.8
7,RL,RL:tcn_transformer__q_learning,tcn_transformer__q_learning,tcn_transformer+q_learning,15056.37522308984,0.9475448721256288,7,9,8.0,0.5056375223089791,0.1390621197177517,0.0961949044166591,-0.0864212979850065,1.6091186196008995,42.400000000000006
8,CA,CA:tcn_transformer,tcn_transformer,tcn_transformer,14848.985526776873,0.9967777399813946,8,8,8.0,0.4848985526776863,0.1340463232924991,0.0864116327286517,-0.0849387978909105,1.5781518766566354,41.20000000000001
9,RL,RL:transformer_autoencoder__q_learning,transformer_autoencoder__q_learning,transformer_autoencoder+q_learning,14265.814998888543,1.0674231558172729,10,6,8.0,0.4265814998888559,0.119681155067099,0.0672348387449198,-0.0849387978909098,1.4090281242361138,54.8
10,RL,RL:patchtst__q_learning,patchtst__q_learning,patchtst+q_learning,14583.787169198731,0.6497867223467548,9,14,11.5,0.4583787169198716,0.1275623229079505,0.1225774378817099,-0.1500581073517316,0.8500861776761475,124.4
